## Benchmark with 150994944 rows (2^27 primary, 2^24 secondary)
## Keys (expected to be unique) taken from keys.bin
# p_log_entries = 27
# s_log_entries = 24
###
table,operation,positive_ratio,rw,pbs,sbs,0.5,0.6,0.7,0.75,0.8,0.85,0.9,0.95
cuckoo,find,   0,32,  8,  0, 9.931367, 10.023935, 11.217920, 12.221049, 13.548697, 15.293587, 17.602919, nan
cuckoo,find, 0.5,32,  8,  0, 9.044416, 9.405439, 10.162790, 10.749952, 11.538099, 12.606668, 14.091265, nan
cuckoo,find,0.75,32,  8,  0, 8.953036, 9.176596, 9.689293, 10.095411, 10.656154, 11.439513, 12.589261, nan
cuckoo,find,   1,32,  8,  0, 8.862515, 8.947917, 9.218208, 9.447034, 9.785753, 10.294067, 11.125555, nan
cuckoo,find,   0,32,  8,  0, 9.240820, 9.904742, 11.211367, 12.218163, 13.544243, 15.296923, 17.598017, nan
cuckoo,find, 0.5,32,  8,  0, 9.045389, 9.405030, 10.162176, 10.747290, 11.537613, 12.604154, 14.087532, nan
cuckoo,find,0.75,32,  8,  0, 8.952218, 9.176269, 9.687245, 10.147840, 10.655949, 11.439161, 12.587008, nan
cuckoo,find,   1,32,  8,  0, 8.864973, 8.949555, 9.218048, 9.448243, 9.783706, 10.295092, 11.122464, nan
cuckoo,find,   0,32,  8,  0, 9.248564, 9.905549, 11.218726, 12.221453, 13.552640, 15.298970, 17.603992, nan
cuckoo,find, 0.5,32,  8,  0, 9.045638, 9.404673, 10.162349, 10.750976, 11.540890, 12.610964, 14.090650, 16.311443
cuckoo,find,0.75,32,  8,  0, 8.953241, 9.176134, 9.687820, 10.095001, 10.654105, 11.441562, 12.587770, nan
cuckoo,find,   1,32,  8,  0, 8.857805, 8.948864, 9.214566, 9.448038, 9.782067, 10.293862, 11.122892, nan
cuckoo,find,   0,32,  8,  0, 9.247917, 9.905766, 11.218329, 12.224793, 13.551412, 15.296153, 17.605639, nan
cuckoo,find, 0.5,32,  8,  0, 9.045389, 9.407488, 10.163565, 10.753024, 11.540071, 12.606874, 14.091789, nan
cuckoo,find,0.75,32,  8,  0, 8.954547, 9.178112, 9.690112, 10.098893, 10.656154, 11.438112, 12.593152, nan
cuckoo,find,   1,32,  8,  0, 8.860672, 8.949350, 9.220288, 9.447565, 9.784320, 10.292429, 11.126579, nan
cuckoo,find,   0,32,  8,  0, 9.244051, 9.902490, 11.215258, 12.221030, 13.549913, 15.290777, 17.596827, nan
cuckoo,find, 0.5,32,  8,  0, 9.044582, 9.406669, 10.159924, 10.749747, 11.538023, 12.602368, 14.083072, nan
cuckoo,find,0.75,32,  8,  0, 8.953036, 9.176269, 9.688064, 10.093773, 10.654310, 11.435827, 12.585984, nan
cuckoo,find,   1,32,  8,  0, 8.856781, 8.947341, 9.215590, 9.444556, 9.782534, 10.291201, 11.121869, nan
cuckoo,find,   0,32,  8,  0, 9.244263, 9.905766, 11.215463, 12.220007, 13.545248, 15.298151, 17.603992, nan
cuckoo,find, 0.5,32,  8,  0, 9.045812, 9.405606, 10.162176, 10.748314, 11.537613, 12.608717, 14.093312, nan
cuckoo,find,0.75,32,  8,  0, 8.955316, 9.178881, 9.693184, 10.095411, 10.656564, 11.440128, 12.592333, nan
cuckoo,find,   1,32,  8,  0, 8.864153, 8.949145, 9.224397, 9.445786, 9.786777, 10.294867, 11.129446, nan
cuckoo,find,   0,32,  8,  0, 9.242624, 9.904563, 11.214297, 12.274560, 13.546272, 15.293236, 17.599079, nan
cuckoo,find, 0.5,32,  8,  0, 9.045197, 9.405030, 10.160128, 10.746739, 11.538227, 12.603520, 14.085324, nan
cuckoo,find,0.75,32,  8,  0, 8.953318, 9.175859, 9.687449, 10.091066, 10.652262, 11.436032, 12.587418, nan
cuckoo,find,   1,32,  8,  0, 8.857958, 8.947840, 9.218048, 9.445152, 9.783297, 10.292793, 11.125760, nan
cuckoo,find,   0,32,  8,  0, 9.243891, 9.904742, 11.216736, 12.223488, 13.548749, 15.297536, 17.598669, nan
cuckoo,find, 0.5,32,  8,  0, 9.043917, 9.406650, 10.160742, 10.749747, 11.537337, 12.609959, 14.087558, nan
cuckoo,find,0.75,32,  8,  0, 8.951193, 9.177613, 9.687245, 10.096231, 10.654105, 11.442093, 12.588032, nan
cuckoo,find,   1,32,  8,  0, 8.858009, 8.949759, 9.214771, 9.448038, 9.783501, 10.294823, 11.125338, nan
cuckoo,find,   0,32,  8,  0, 9.241350, 9.902490, 11.214796, 12.220416, 13.546957, 15.297740, 17.601894, nan
cuckoo,find, 0.5,32,  8,  0, 9.041920, 9.404621, 10.161766, 10.803846, 11.538841, 12.608717, 14.086759, nan
cuckoo,find,0.75,32,  8,  0, 8.952813, 9.176679, 9.689472, 10.094797, 10.656564, 11.440742, 12.589703, nan
cuckoo,find,   1,32,  8,  0, 8.859648, 8.947065, 9.218458, 9.446196, 9.785344, 10.295283, 11.124953, nan
cuckoo,find,   0,32,  8,  0, 9.242631, 9.903719, 11.212595, 12.218157, 13.545473, 15.294887, 17.599340, 20.691559
cuckoo,find, 0.5,32,  8,  0, 9.043489, 9.406464, 10.158470, 10.749990, 11.535564, 12.604442, 14.087374, nan
cuckoo,find,0.75,32,  8,  0, 8.949408, 9.177305, 9.687232, 10.095860, 10.654963, 11.437811, 12.589197, nan
cuckoo,find,   1,32,  8,  0, 8.862381, 8.950170, 9.219654, 9.448038, 9.784492, 10.293043, 11.126579, nan
cuckoo,put,,32,  8,  0, 19.633766, 23.835878, 28.516764, 31.188660, 34.219891, 37.832294, 42.523712, nan
cuckoo,put,,32,  8,  0, 19.626598, 23.844090, 28.559973, 31.188379, 34.230694, 37.828197, 42.523445, nan
cuckoo,put,,32,  8,  0, 19.640806, 23.838120, 28.519220, 31.187149, 34.218185, 37.833763, 42.532871, nan
cuckoo,put,,32,  8,  0, 19.643391, 23.845144, 28.510248, 31.201925, 34.228142, 37.849957, 42.543121, nan
cuckoo,put,,32,  8,  0, 19.631237, 23.839130, 28.512873, 31.185715, 34.224739, 37.841179, 42.526108, nan
cuckoo,put,,32,  8,  0, 19.632366, 23.837082, 28.525442, 31.191448, 34.233788, 37.845875, 42.544128, nan
cuckoo,put,,32,  8,  0, 19.631380, 23.838720, 28.512325, 31.187557, 34.209229, 37.833111, 42.530407, nan
cuckoo,put,,32,  8,  0, 19.639360, 23.845684, 28.520039, 31.189243, 34.219727, 37.836037, 42.522011, nan
cuckoo,put,,32,  8,  0, 19.635078, 23.843136, 28.512287, 31.180185, 34.219048, 37.827202, 42.530460, nan
cuckoo,put,,32,  8,  0, 19.645311, 23.834240, 28.519302, 31.184484, 34.219780, 37.830246, 42.523811, nan
cuckoo,fop,   0,32,  8,  0, 152.427338, 162.651749, 173.245926, 178.902679, 184.854172, 191.530258, 199.256683, nan
cuckoo,fop, 0.5,32,  8,  0, 121.453209, 132.222977, 143.294876, 149.148041, 155.283844, 162.202225, 170.135345, nan
cuckoo,fop,0.75,32,  8,  0, 138.070755, 138.140915, 138.061676, 138.222870, 145.470093, 154.108383, nan, nan
cuckoo,fop,   1,32,  8,  0, nan, nan, nan, nan, nan, nan, nan, nan
cuckoo,fop,   0,32,  8,  0, 152.431198, 162.611008, 173.274811, 178.914124, 184.936264, 191.558868, 199.279404, nan
cuckoo,fop, 0.5,32,  8,  0, 121.428673, 132.181152, 143.272141, 149.094391, 155.342560, 162.184174, 170.136414, nan
cuckoo,fop,0.75,32,  8,  0, 138.110565, 138.095642, 138.071045, 138.150497, 145.463669, 154.040604, nan, nan
cuckoo,fop,   1,32,  8,  0, nan, nan, nan, nan, nan, nan, nan, nan
cuckoo,fop,   0,32,  8,  0, 152.382248, 162.602692, 173.223724, 178.893219, 184.878387, 191.532516, 199.207001, nan
cuckoo,fop, 0.5,32,  8,  0, 121.393188, 132.201294, 143.248444, 149.065765, 155.383820, 162.305023, 170.123062, nan
cuckoo,fop,0.75,32,  8,  0, 138.198151, 138.078094, 138.142181, 138.086868, 145.540146, 154.034637, nan, nan
cuckoo,fop,   1,32,  8,  0, nan, nan, nan, nan, nan, nan, nan, nan
cuckoo,fop,   0,32,  8,  0, 152.383514, 162.626862, 173.279999, 178.902435, 185.004471, 191.559479, 199.285995, nan
cuckoo,fop, 0.5,32,  8,  0, 121.389748, 132.236954, 143.275421, 149.123688, 155.330185, 162.191772, 170.109650, nan
cuckoo,fop,0.75,32,  8,  0, 138.084763, 138.157043, 138.088287, 138.161697, 145.471069, 154.117691, nan, nan
cuckoo,fop,   1,32,  8,  0, nan, nan, nan, nan, nan, nan, nan, nan
cuckoo,fop,   0,32,  8,  0, 152.425064, 162.579010, 173.243683, 178.938278, 184.912933, 191.539871, 199.196381, nan
cuckoo,fop, 0.5,32,  8,  0, 121.394432, 132.170380, 143.285522, 149.108566, 155.276413, 162.186127, 170.085999, nan
cuckoo,fop,0.75,32,  8,  0, 138.061417, 138.118561, 138.062927, 138.104614, 145.447357, 153.994049, nan, nan
cuckoo,fop,   1,32,  8,  0, nan, nan, nan, nan, nan, nan, nan, nan
cuckoo,fop,   0,32,  8,  0, 152.423630, 162.580353, 173.199570, 178.872437, 184.876022, 191.524689, 199.220184, nan
cuckoo,fop, 0.5,32,  8,  0, 121.403183, 132.173004, 143.261795, 149.090164, 155.352997, 162.146545, 170.181473, nan
cuckoo,fop,0.75,32,  8,  0, 138.147873, 138.054443, 138.142380, 138.051193, 145.513885, 154.065765, nan, nan
cuckoo,fop,   1,32,  8,  0, nan, nan, nan, nan, nan, nan, nan, nan
