table,operation,positive_ratio,rw,pbs,sbs,0.5,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1
iceberg,havi,,16, 32, 16, 3.161600, 3.778560, 4.390912, 4.697776, 5.003776, 5.313024, 5.611776, 5.914112, 6.224896
iceberg,havi,,16, 32, 16, 3.163344, 3.774976, 4.381696, 4.695616, 5.001216, 5.314560, 5.618768, 5.916304, 6.222336
iceberg,havi,,16, 32, 16, 3.158640, 3.777184, 4.389888, 4.692992, 5.009920, 5.315072, 5.614080, 5.922368, 6.223872
iceberg,havi,,16, 32, 16, 3.162640, 3.780608, 4.388480, 4.698208, 5.001840, 5.309072, 5.614080, 5.917184, 6.226432
iceberg,havi,,16, 32, 16, 3.156064, 3.771392, 4.390912, 4.690432, 5.003776, 5.312512, 5.612192, 5.912064, 6.224480
iceberg,havi,,16, 32, 16, 3.154624, 3.772416, 4.384464, 4.695728, 5.005936, 5.305936, 5.606400, 5.920368, 6.224976
iceberg,havi,,32, 32, 16, 2.958976, 3.535504, 4.087504, 4.382384, 4.650160, 4.950016, 5.208064, 5.502976, 5.779456
iceberg,havi,,32, 32, 16, 2.951168, 3.513856, 4.086784, 4.370944, 4.659248, 4.932608, 5.222912, 5.497856, 5.792768
iceberg,havi,,32, 32, 16, 2.943536, 3.526144, 4.083808, 4.375040, 4.654592, 4.942848, 5.213312, 5.503488, 5.783888
iceberg,havi,,32, 32, 16, 2.951264, 3.511296, 4.088832, 4.366160, 4.661616, 4.936704, 5.222912, 5.493856, 5.792768
iceberg,havi,,32, 32, 16, 2.944160, 3.520624, 4.083296, 4.378624, 4.654592, 4.945696, 5.210624, 5.508096, 5.784064
iceberg,havi,,32, 32, 16, 2.951216, 3.511296, 4.093440, 4.365824, 4.664944, 4.931584, 5.227696, 5.494400, 5.798912
iceberg,havi,,32, 32, 16, 2.948096, 3.520544, 4.083200, 4.375552, 4.650496, 4.942464, 5.213184, 5.504000, 5.779968
iceberg,havi,,32, 32, 16, 2.949632, 3.513856, 4.089344, 4.374528, 4.660256, 4.933120, 5.222912, 5.494272, 5.792256
iceberg,havi,,32, 32, 16, 2.947584, 3.518480, 4.083712, 4.374112, 4.649984, 4.947456, 5.212672, 5.503632, 5.782528
iceberg,havi,,32, 32, 16, 2.951168, 3.517440, 4.092560, 4.366336, 4.659200, 4.938240, 5.222480, 5.497344, 5.792448
cuckoo,havi,,32, 32,  0, 17.303553, 20.625408, 23.981056, 25.715359, 27.337215, 29.028864, 30.650047, 32.353951, 33.985580
cuckoo,havi,,32, 32,  0, 17.314960, 20.653679, 24.008369, 25.693184, 27.343185, 29.060097, 30.654064, 32.351807, 34.018814
cuckoo,havi,,32, 32,  0, 17.305599, 20.634111, 24.073727, 25.697777, 27.375248, 28.992001, 30.623264, 32.333313, 34.027519
cuckoo,havi,,32, 32,  0, 17.288576, 20.612766, 23.967232, 25.701889, 27.338688, 29.036720, 30.649857, 32.370255, 33.995857
cuckoo,havi,,32, 32,  0, 17.312256, 20.612625, 24.019455, 25.693184, 27.342335, 29.034496, 30.620176, 32.327774, 34.051949
cuckoo,havi,,32, 32,  0, 17.312336, 20.646496, 24.052736, 25.695232, 27.369377, 29.067152, 30.643295, 32.334976, 34.000702
cuckoo,havi,,32, 32,  0, 17.309296, 20.632080, 24.014400, 25.728001, 27.346432, 29.000704, 30.676113, 32.334335, 34.005424
cuckoo,havi,,32, 32,  0, 17.318399, 20.616064, 24.018944, 25.677311, 27.339905, 29.053471, 30.628719, 32.333313, 34.035202
